Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
FGF9	-0.809593901498356	4.204290623557498	-4.887235282900268	6.93857953288487e-5	0.9989083635294884	-2.9212452397230226
ATP8B2	0.7431703163702776	5.694448737194431	4.543039404653346	1.603900381359858e-4	0.9989083635294884	-3.060356748337425
MYH3	0.7817072688724895	3.073123595904823	4.317709505610488	2.7806841277963775e-4	0.9989083635294884	-3.1559875556240495
PRDM5	0.38880504338051036	2.4004759678746166	4.157107679492629	4.1162454704568737e-4	0.9989083635294884	-3.226244656703517
ENPP2	1.8948068593623564	7.588151591947827	4.1189574408306555	4.5179678456864293e-4	0.9989083635294884	-3.2431798092579496
RBFA	0.6926556601783025	4.5530170300821196	4.0910953765813	4.835811220264541e-4	0.9989083635294884	-3.255605966295168
FAS	0.646077077553167	3.4986103727627986	4.087559822694708	4.877703745635949e-4	0.9989083635294884	-3.2571862493481096
RTL8C	-1.1412342636443338	6.85637582586617	-3.9523538199038937	6.781629645936892e-4	0.9989083635294884	-3.3181905444865265
ACSM3	0.43791749208606046	3.2381023743121906	3.8643803320868346	8.399778203214585e-4	0.9989083635294884	-3.35845931416276
C20orf204	0.9560458222894797	4.659278448296479	3.853497171410954	8.624854143723901e-4	0.9989083635294884	-3.3634711092122087
ZNF665	-0.7693004205915459	4.895714775318098	-3.841757509544397	8.874338783277845e-4	0.9989083635294884	-3.368884603877069
TEP1	-0.5900927370230002	4.9013982945336485	-3.830649807792707	9.11696265396973e-4	0.9989083635294884	-3.374013581069084
TLR8	-1.0327610282950617	4.273770524247432	-3.749887211806325	0.001108955851076314	0.9989083635294884	-3.4115024765865054
ST3GAL1-DT	0.5011680665102554	3.9271126251321657	3.6971041590526452	0.0012600701985912407	0.9989083635294884	-3.4361838663023354
TES	0.8892299606742338	6.703965232837495	3.6811306899262104	0.0013096792537881513	0.9989083635294884	-3.443680012956472
ELFN1-AS1	0.6217091912548658	3.9464655857806394	3.6351806139817224	0.0014633645262116417	0.9989083635294884	-3.465311217822828
TRIP10	0.6495719018642685	4.875146702374689	3.6133932874306525	0.0015423079316499353	0.9989083635294884	-3.4756017304847955
SH2D1A	0.5690843836108925	5.058951092754018	3.576550122268884	0.0016854350840097454	0.9989083635294884	-3.4930514066992515
KRT8P12	-0.6115788509965068	5.075635985785426	-3.5652062874195276	0.0017320741447465098	0.9989083635294884	-3.498435927988379
GBP1	-1.5326754041312993	6.769752525626019	-3.5279735241969923	0.001894232143212214	0.9989083635294884	-3.5161469437481143
IMPG1	0.421954799258903	2.255612275712056	3.503500950555161	0.0020088307723558343	0.9989083635294884	-3.527818873229336
TNFRSF9	0.8583397181726191	5.725217124780139	3.484802196316796	0.0021009447162512684	0.9989083635294884	-3.536752902575566
PHKG1	0.37288649144147445	3.59937032753974	3.450582567141477	0.0022803461969312317	0.9989083635294884	-3.55313693495935
FGFBP2	0.4268465998609532	2.6998696763883494	3.4244711353627375	0.002427237664017598	0.9989083635294884	-3.5656675574506362
FOXR2	0.9294895036892066	3.386279494437124	3.4178768352013407	0.0024657732938650175	0.9989083635294884	-3.568835894518509
CXCL9	-2.3490845081607032	8.254295058710735	-3.3983346440461215	0.0025835171564342462	0.9989083635294884	-3.5782339891244783
MAP1S	-0.5337073361513145	4.747845629661831	-3.3832435107617798	0.0026781825791197694	0.9989083635294884	-3.5855002423256725
SACS-AS1	0.32660638480361603	2.585254364391088	3.3431820292382297	0.0029462018120942337	0.9989083635294884	-3.604824783180635
EDN2	0.4267226264385835	4.304454154836185	3.3381280992908033	0.002981817410670465	0.9989083635294884	-3.6072661601459433
NRBF2P6	-0.9471907037289009	5.605343999073398	-3.319953900533129	0.0031133921853903172	0.9989083635294884	-3.616051691107244
ELMOD1	0.3237827897846324	3.4834927768106594	3.3140924549238098	0.0031570201115175755	0.9989083635294884	-3.6188871837032535
ATP9B	0.5783490567776925	3.835999300501923	3.272474270527059	0.003484359862376956	0.9989083635294884	-3.639047213433072
PEF1	-0.5342762429552481	6.434964777476563	-3.264905127078002	0.003547339901076091	0.9989083635294884	-3.642718626234336
CCL1	0.49130963367585423	3.7619705834747035	3.247268523945942	0.0036984080201586263	0.9989083635294884	-3.6512787713810386
HJURP	0.5575837240571664	4.465822186938289	3.2434047164310758	0.0037323285411179742	0.9989083635294884	-3.653155121736149
TMEM138	-0.8213814292628703	5.610362018765933	-3.2373078646080646	0.0037864681339520707	0.9989083635294884	-3.6561166024889786
TRPM8	1.2376354272758041	3.4817711395061837	3.2321678736221666	0.0038327023306624635	0.9989083635294884	-3.6586139682542855
RP1	1.5903670461239527	2.710007529767955	3.208558373271514	0.004052199286057876	0.9989083635294884	-3.6700927145391478
DPH2	0.35817728884041156	6.527596043949993	3.207052174151507	0.004066608548010813	0.9989083635294884	-3.670825427116851
GBP1P1	-1.270834823836915	6.431930639383112	-3.20098572146698	0.00412514857667609	0.9989083635294884	-3.673777024205953
CRACR2B	0.3889311781772138	3.6373476297052454	3.1969624904162237	0.004164421455149081	0.9989083635294884	-3.675734924672057
ADGRE5	-1.0487500627929762	7.553396574160637	-3.193171730131568	0.004201756387288943	0.9989083635294884	-3.6775799959033444
TRIM6	1.3995923597425373	5.326037353673307	3.173623444861539	0.004399491367771593	0.9989083635294884	-3.68709921600807
CXCR5	-0.6833946035229177	4.743321689463117	-3.1697002773065326	0.00444024645392722	0.9989083635294884	-3.6890105202000427
CLPB	0.4056810403164013	5.021459613930373	3.1634140875144325	0.004506312220503471	0.9989083635294884	-3.6920736423687774
LINC01723	0.42916907879527644	4.121276238628357	3.1558804864472134	0.0045867413181368034	0.9989083635294884	-3.695745538221469
CRYZL2P-SEC16B	0.3735617960954185	2.9358111938556757	3.1429350968300103	0.004728200632598215	0.9989083635294884	-3.7020574555992045
SEC16B	0.3735617960954185	2.9358111938556757	3.1429350968300103	0.004728200632598215	0.9989083635294884	-3.7020574555992045
SIPA1L1	-0.5982320594313282	3.560885423978432	-3.1262856700290627	0.004916345978590677	0.9989083635294884	-3.710179446709505
